City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Paamiut,GL,35.91,light rain,61.994,-49.6678,Pistut
9,Kizner,RU,27.34,overcast clouds,56.2749,51.508,Gostinitsa Intera
12,Ilulissat,GL,35.62,overcast clouds,69.2167,-51.1,Hotel Arctic
27,Bethel,US,43.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
28,Lasa,IT,33.26,snow,46.6166,10.7002,Pension Feldgärtenhof
33,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatros Hotel
37,Kodiak,US,26.11,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
39,Taicheng,CN,29.61,clear sky,38.731,113.228,五台山康旅酒店
44,Onalaska,US,34.32,overcast clouds,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
45,Beian,NO,30.29,broken clouds,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
51,Hasaki,JP,41.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
53,Olafsvik,IS,34.93,broken clouds,64.8945,-23.7142,Hotel Olafsvik
58,Curatele,RO,30.76,overcast clouds,46.7,22.4167,Raven Valley
65,Seoul,KR,29.64,clear sky,37.5683,126.9778,Lotte Hotel Seoul
67,Xining,CN,25.43,clear sky,36.6167,101.7667,Super Leisure Hotel
69,Iwanai,JP,29.61,light snow,42.9744,140.5089,いわない高原ホテル
73,Filadelfia,US,46.33,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
79,Paveh,IR,42.75,overcast clouds,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
83,Maniitsoq,GL,39.58,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
85,Grindavik,IS,28.87,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
94,Semey,KZ,23.49,broken clouds,50.4111,80.2275,Grand Hotel Semey
95,Katsuura,JP,49.19,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
101,Jamestown,US,38.08,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
103,Tateyama,JP,49.1,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
105,Moissac,FR,46.27,overcast clouds,44.1024,1.0945,Hôtel & Spa Le Moulin De Moissac
106,Klaksvik,FO,34.72,overcast clouds,62.2266,-6.589,Airbnb rooms
112,Broome,US,40.01,clear sky,42.2506,-75.833,Chenango Valley State Park
115,Shimoda,JP,49.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
119,Upernavik,GL,23.36,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
121,Uglovskoye,RU,23.52,overcast clouds,51.3557,80.1942,"Ooo ""Premium"""
123,Hami,CN,26.49,overcast clouds,42.8,93.45,Laoyutang Resort
137,Asau,RO,29.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
141,Balykshi,KZ,30.2,mist,47.0667,51.8667,Гостиница Golden Rose
143,Jabinyanah,TN,49.8,clear sky,35.035,10.9081,maison belmabrouk
152,Sitka,US,31.89,broken clouds,57.0531,-135.33,Westmark Sitka
157,Marquette,US,24.33,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
161,Vikhorevka,RU,22.59,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
164,Newport,GB,44.02,light rain,51.5877,-2.9984,ibis budget Newport
169,Beringovskiy,RU,25.52,snow,63.05,179.3167,Beringgorski
171,Zhanaozen,KZ,33.17,clear sky,43.3,52.8,K.korabay 28A
174,Havre-Saint-Pierre,CA,26.6,clear sky,50.2334,-63.5986,Auberge Niapiskau
179,Narsaq,GL,31.59,overcast clouds,60.9167,-46.05,Sleep In Narsaq
198,Severo-Kurilsk,RU,31.44,broken clouds,50.6789,156.125,Kak Doma
200,Kaseda,JP,36.63,clear sky,31.4167,130.3167,Sun Stay Kaseda
210,Ropczyce,PL,35.24,overcast clouds,50.0523,21.6089,Motel Super 6
217,Steinbach,DE,40.6,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
220,Nanortalik,GL,35.11,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
224,Bani Walid,LY,49.1,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
241,Tasiilaq,GL,28.56,snow,65.6145,-37.6368,The Red House
247,Roald,NO,37.54,light rain,62.5833,6.1333,Flem Cabins
254,Nemuro,JP,32.4,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
268,Sili,CN,45.72,broken clouds,28.4,117.1667,Jiangchuan Hotel
269,Pinneberg,DE,36.43,light snow,53.65,9.8,Restaurant Schleßelmann
274,Aromashevo,RU,31.41,overcast clouds,56.8602,68.6375,Gostinitsa
277,Vardo,NO,21.13,few clouds,70.3705,31.1107,Vardø Hotel AS
283,Crystal Beach,CA,38.98,broken clouds,42.8699,-79.0583,Yellow Door Bed and Breakfast
287,Shelburne,CA,32.56,broken clouds,44.0787,-80.2041,The Retreat at the Farm
302,Vannes,FR,44.31,overcast clouds,47.8333,-2.5,Le Bolloch Françoise
309,Damavand,IR,30.04,clear sky,35.7178,52.065,آپارتمان زمانیان
310,Ashland,US,38.66,clear sky,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
315,Zhangye,CN,29.1,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
329,Yarkovo,RU,32.11,overcast clouds,57.4028,67.0786,"Kfkh ""Ivanov S. M."""
331,Daimiel,ES,48.97,broken clouds,39.07,-3.615,Hotel Doña Manuela
334,Valley City,US,29.39,light snow,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
343,Shu,KZ,40.95,broken clouds,43.5983,73.7614,Shyngyzkhan
348,Saint-Francois,FR,40.48,broken clouds,46.4154,3.9054,Manoir Du Bonheur
353,Port Hardy,CA,39.76,light intensity shower rain,50.6996,-127.4199,Airport Inn
360,Sistranda,NO,30.16,overcast clouds,63.7256,8.834,Hotell Frøya
361,Krivyanskaya,RU,41.5,overcast clouds,47.3963,40.1662,Inn DejaVu
362,Galbshtadt,RU,24.12,overcast clouds,53.2264,78.9845,"Гостевой домик ""Deutscher Hof"""
364,Kankakee,US,39.06,clear sky,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
366,Saint Anthony,US,33.15,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
376,Torbay,CA,29.68,scattered clouds,47.6666,-52.7314,Gallows Cove
377,Berea,US,40.55,clear sky,41.3662,-81.8543,Comfort Inn Cleveland Airport
382,Ayagoz,KZ,24.04,overcast clouds,47.9714,80.4392,Gostinitsa Nur
384,Kuytun,RU,23.0,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
386,Ingham,US,37.02,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
397,Marks,RU,32.45,overcast clouds,51.7111,46.7486,Maiak Hotel
417,Saintes,FR,46.09,light rain,45.6667,-0.75,Château de Pisany
420,Do Gonbadan,IR,44.69,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
423,Shetpe,KZ,34.84,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
429,Safranbolu,TR,46.44,overcast clouds,41.2508,32.6942,GuleviSafranbolu Hotel
433,Hofn,IS,30.34,clear sky,64.2539,-15.2082,Hótel Höfn
437,Lewisporte,CA,25.18,scattered clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
443,Brae,GB,37.31,overcast clouds,60.3964,-1.353,Busta House Hotel
444,Sabha,LY,47.8,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
449,Hirado,JP,47.39,broken clouds,33.3597,129.5531,Samson Hotel
452,Muromtsevo,RU,30.25,overcast clouds,56.3724,75.2418,Plyazh U Reki Tara
468,Krasnoye,UA,24.19,broken clouds,49.9145,24.6134,Feniks
469,Jinchang,CN,33.24,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
471,Tamasi,HU,33.67,overcast clouds,46.6333,18.2833,Termál Motel és Kemping
476,Portlethen,GB,41.49,broken clouds,57.0547,-2.1307,Premier Inn Aberdeen South (Portlethen) hotel
478,Nizhnyaya Tavda,RU,33.15,light snow,57.6731,66.1725,Dom
492,Fort Dodge,US,36.75,overcast clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
495,Sicamous,CA,33.12,overcast clouds,50.8331,-118.9856,Best Western Sicamous Inn
498,Lebork,PL,34.92,overcast clouds,54.5392,17.7501,Vega
503,Reguengos De Monsaraz,PT,47.88,scattered clouds,38.4253,-7.5349,Residencial O Gato
504,Suksun,RU,30.27,overcast clouds,57.1431,57.3949,Island Relax
508,Kendal,GB,41.74,moderate rain,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resorts
509,Lamlash,GB,40.48,few clouds,55.5336,-5.1296,Arran Sleeping Huts
512,Svencionys,LT,24.13,overcast clouds,55.15,26.1667,Šviesa
518,Zaysan,KZ,22.1,broken clouds,47.4667,84.8667,Ерлан үй
520,Dali,CN,44.58,broken clouds,25.7,100.1833,Dali Travelling With Hostel
523,Xinxiang,CN,39.29,clear sky,35.3089,113.8672,Guoyu Holiday Inn
528,Gotsu,JP,41.14,overcast clouds,35.0,132.2167,Yurusato
532,Tailai,CN,21.43,scattered clouds,46.3833,123.4,Pearl Garden Hotel
534,Yatou,CN,44.44,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
539,Prince Rupert,CA,37.09,scattered clouds,54.3161,-130.3201,Crest Hotel
540,Mariinskiy Posad,RU,27.54,overcast clouds,56.115,47.718,Парк-отель «Нерядово»
541,Xiongzhou,CN,47.89,clear sky,25.1167,114.3,Xinhewan Business Hotel
543,Bonavista,CA,28.11,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
546,Linxia,CN,25.54,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
549,Neftegorsk,RU,32.22,light snow,52.802,51.166,Relaks
554,Sfantu Gheorghe,RO,35.26,broken clouds,45.8667,25.7833,Hotel Park
561,Sault Sainte Marie,CA,28.89,light snow,46.5168,-84.3333,Comfort Inn
562,Sunds,DK,39.94,overcast clouds,56.2042,9.0127,Best Bed
565,Vestmannaeyjar,IS,39.02,broken clouds,63.4427,-20.2734,Glamping & Camping
574,Yuanping,CN,30.65,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
576,Libiaz,PL,35.98,overcast clouds,50.104,19.3157,Hotel dla Psów
579,Tarazona,ES,44.53,broken clouds,41.9,-1.7333,La Merced de la Concordia
580,Shiraoi,JP,30.22,scattered clouds,42.55,141.35,Pirika Rera Hotel
594,Stornoway,GB,38.03,few clouds,58.2093,-6.3865,Caladh Inn
604,Swanzey,US,37.76,broken clouds,42.8698,-72.2818,The Bridges Inn at Whitcomb House
605,Belyy Yar,RU,22.89,clear sky,53.6039,91.3903,Pasportnyy Stol
606,Zhezkazgan,KZ,29.57,snow,47.8043,67.7144,Hotel Zumrat
608,Zhuanghe,CN,38.75,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
610,Murakami,JP,42.69,overcast clouds,38.2333,139.4833,Senami Grand Hotel Haginoya
611,Soria,ES,37.85,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
613,Korla,CN,25.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
615,Tabas,IR,46.18,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
618,Jishou,CN,49.19,clear sky,28.3167,109.7167,7 Days Inn
620,Maple Creek,CA,28.45,snow,49.9168,-109.4848,Willowbend Campground & Cabins
621,Karak,JO,48.92,overcast clouds,31.1667,35.75,Cairwan Hotel
622,Brunico,IT,32.11,light snow,46.7958,11.9364,Hotel Post
627,Harnosand,SE,21.99,broken clouds,62.6323,17.9379,First Hotel Stadt
628,Semirom,IR,35.67,clear sky,31.4167,51.5667,Motel Dena
630,Dauphin,CA,23.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
637,Den Helder,NL,43.07,light intensity drizzle,52.9599,4.7593,Hotel Den Helder
638,Vanderhoof,CA,25.39,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
642,Shache,CN,25.68,few clouds,38.4167,77.2406,Delong Hotel
649,Kostino,RU,23.34,overcast clouds,58.9097,53.2691,"Кафе-гостиница ""Привал"" бесплатный WiFi, номер 500 руб."
650,Hamilton,US,47.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
653,Anshun,CN,48.11,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
667,Palmer,US,37.72,scattered clouds,42.1584,-72.3287,Wedgewood Motel
669,Taft,IR,37.35,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
672,Margate,GB,42.89,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
678,Abatskoye,RU,32.81,broken clouds,56.2875,70.4555,Gostinitsa Abatskaya
681,Haimen,CN,48.09,clear sky,23.1935,116.6142,Jinghao Business Hotel
